Hora de inicio,Número de ordeño,Duración (mm:ss),Producción (kg),Intervalo de ordeño (hh:mm),Duracion de Incremento,Duracion de Decremento,Tiempo de Incremento,Tiempo de Decremento,Ubre,Pezón,Destino Leche,Razón de la desviación,Programa de lavado,MS,Usuario,Tipo de evento,Fecha del evento,Descripción,Usuario,Comentario,Num Lactacion
01/01/2025 08:33,1,06:08,14.07,09:21,2.81,3.08,4.5,3.68,0,,Tanque,,,VMS 1,,Cambio de grup,02/08/2021 00:00,"2, VMS 2 -> 3, VMS 3",User1,,1
01/01/2025 21:11,2,08:01,19.25,12:32,3.76,4.46,6.03,5,0,,Tanque,,,VMS 1,,Control de Gest,02/07/2031 00:00,+,User1,CARGADA DE 153,1
02/01/2025 06:29,1,06:26,13.96,09:09,2.95,3.24,4.38,3.39,0,,Tanque,,,VMS 1,,Invitación Visita,02/07/2031 00:00,"31/07/2025, Reconfirmacion 2 (150-
160 dias)",DR  RAFA (,,1
02/01/2025 21:21,2,07:34,22.74,14:45,4.69,5.16,7.1,5.79,0,,Tanque,,,VMS 1,,Control de Gest,02/05/2029 00:00,+,User1,cargada de 90,1
03/01/2025 08:30,1,07:28,19.27,11:01,4.1,4.36,6.07,4.74,0,,Tanque,,,VMS 1,,Invitación Visita,02/05/2029 00:00,"29/05/2025, Reconfirmacion 1 (90-
110 dias)",DR  RAFA (,,1
03/01/2025 18:38,2,06:17,17.03,09:59,3.48,3.96,5.26,4.33,0,,Tanque,,,VMS 1,,Invitación Visita,02/04/2024 00:00,"24/04/2025, Diagnostico de Gestacion (>40 dias insem)",DR  RAFA (,,1
04/01/2025 02:30,1,05:30,13.09,07:45,2.75,3.07,4.03,3.24,0,,Tanque,,,VMS 1,,Control de Gest,02/04/2017 00:00,+,User1,CARGADA DE 48,1
04/01/2025 11:28,2,06:05,14.93,08:52,3.15,3.45,4.82,3.51,0,,Tanque,,,VMS 1,,Invitación Visita,02/04/2017 00:00,"17/04/2025, Diagnostico de Gestacion (>40 dias insem)",DR  RAFA (,,1
04/01/2025 21:23,3,06:35,16.64,09:49,3.38,3.87,5.32,4.07,0,,Tanque,,,VMS 1,,Invitación Visita,02/04/2010 00:00,"10/04/2025, Diagnostico de Gestacion (>40 dias insem)",DR  RAFA (,,1
05/01/2025 05:45,1,06:11,14.55,08:15,3.04,3.33,4.59,3.59,0,,Tanque,,,VMS 1,,Inseminación,02/02/2028 00:00,"Effective Insemination Artificial Insemination; HO84m3212874372;
COOKIECUTTER HOKYSMOKES;
Unknown Brand; Roma",Roma,TUR ML,1
05/01/2025 18:28,2,07:11,18.9,12:36,3.98,4.32,5.57,5.03,0,,Tanque,,,VMS 1,,Celo,02/02/2028 00:00,Herd Navigator,Roma,,1
06/01/2025 03:51,1,05:46,15.58,09:16,3.18,3.55,4.85,4,0,,Tanque,,,VMS 1,,Diagnósticos/Tr,02/02/2020 00:00,Dns: Vacia; Loc.: DD; Trat: PG2; Med:,User1,,1
06/01/2025 16:23,2,14:07,7.88,12:26,3.45,4.43,0,0,0,,Tanque,,,VMS 1,,Control de Gest,02/02/2020 00:00,-,User1,VACIA DE 34 POST. INSEM,1
06/01/2025 16:38,3,15:35,0.35,00:00,0.2,0.15,0,0,0,,Tanque,,,VMS 1,,Inseminación,02/01/2017 00:00,"Artificial Insemination; 8403214324421; HIGH OOHM;
Unknown Brand; Roma",Roma,ML,1
06/01/2025 23:39,4,07:30,16.93,06:45,2.21,2.21,6.79,5.72,0,,Tanque,,,VMS 1,,Celo,02/01/2017 00:00,Herd Navigator,Roma,,1
07/01/2025 06:40,1,04:57,11.22,06:53,2.39,2.69,3.41,2.73,0,,Tanque,,,VMS 1,,Diagnósticos/Tr,02/01/2009 00:00,Dns: Vacia; Loc.: DD; Trat: PG2; Med:,User1,,1
07/01/2025 17:47,2,06:04,17.31,11:02,3.81,4.25,5.07,4.18,0,,Tanque,,,VMS 1,,Control de Gest,02/01/2009 00:00,-,User1,VACIA DE 34 POST. INSEM,1
08/01/2025 01:39,1,05:17,12.1,07:45,2.57,2.99,3.58,2.96,0,,Tanque,,,VMS 1,,Inseminación,02/12/2006 00:00,"Artificial Insemination; 8403214324447; OVER-THE-THOP;
Unknown Brand; Roma",Roma,m.l,1
08/01/2025 09:43,2,20:04,5.88,07:59,1.77,1.95,0,2.16,0,,Tanque,,,VMS 1,,Celo,02/12/2006 00:00,Herd Navigator,Roma,,1
08/01/2025 11:36,3,05:07,5.83,01:33,0.65,0.83,3.51,0.84,0,,Tanque,,,VMS 1,,Diagnósticos/Tr,02/11/2028 00:00,Dns: Vacia; Loc.: DD; Trat: PG2; Med:,User1,,1
