Fecha consumo,Corral,Consumo Corral,Pasta de soya seco,Maiz molido seco,Silo de Maiz seco,Silo de Avena seco,Triticale_seca,PataCebada_seca,OroMilk_seca,Melaza_seca,Oro Balance seco,Agua_kg,Total_MS_Dieta Seco,consumo (kg),sobrante (kg),% rechazo,Fecha Ordeño,ID_vaca,Produccion_total_kg,Numero_Ordeños,Corral de ordeño
01/01/2025,1,1000,0.00,0.00,0.00,0.00,7.80,0.40,14.18,1.33,0.00,5.50,23.70,1000,0,0%,01/01/2025,1213,18.99,1,Corral 1 y 2
01/01/2025,2,1300,0.00,0.00,0.00,0.00,7.80,0.40,14.18,1.33,0.00,5.50,23.70,1300,0,0%,01/01/2025,1216,13.96,1,Corral 1 y 2
01/01/2025,3,1200,0.00,0.00,0.00,0.00,7.80,0.40,14.18,1.33,0.00,5.50,23.70,1200,0,0%,01/01/2025,1228,16.56,1,Corral 3 y 4
01/01/2025,4,1290,0.00,0.00,0.00,0.00,7.80,0.40,14.18,1.33,0.00,5.50,23.70,1290,10,1%,01/01/2025,1235,14.26,1,Corral 3 y 4
01/01/2025,5,1200,0.00,0.00,0.00,0.00,7.80,0.40,14.18,1.33,0.00,5.50,23.70,1200,0,0%,01/01/2025,1236,13.54,1,Corral 5 y 6
01/01/2025,6,2000,0.00,0.00,0.00,0.00,7.80,0.40,14.18,1.33,0.00,5.50,23.70,2000,0,0%,01/01/2025,1242,18.01,1,Corral 3 y 4
02/01/2025,1,990,0.00,0.00,0.00,0.00,7.80,0.40,14.18,1.33,0.00,5.50,23.70,990,110,10%,01/01/2025,1243,11.69,1,Corral 5 y 6
02/01/2025,2,1170,0.00,0.00,0.00,0.00,7.80,0.40,14.18,1.33,0.00,5.50,23.70,1170,130,10%,01/01/2025,1555,23.26,1,Corral 1 y 2
02/01/2025,3,1120,0.00,0.00,0.00,0.00,7.80,0.40,14.18,1.33,0.00,5.50,23.70,1120,80,7%,01/01/2025,1560,22.19,1,Corral 1 y 2
02/01/2025,4,1080,0.00,0.00,0.00,0.00,7.80,0.40,14.18,1.33,0.00,5.50,23.70,1080,220,17%,01/01/2025,1567,40.54,2,Corral 3 y 4
02/01/2025,5,1050,0.00,0.00,0.00,0.00,7.80,0.40,14.18,1.33,0.00,5.50,23.70,1050,150,13%,01/01/2025,1577,38.36,2,Corral 3 y 4
02/01/2025,6,1780,0.00,0.00,0.00,0.00,7.80,0.40,14.18,1.33,0.00,5.50,23.70,1780,20,1%,01/01/2025,1617,18.56,1,Corral 5 y 6
03/01/2025,1,1010,0.00,0.00,0.00,0.00,7.80,0.40,14.18,1.33,0.00,5.50,23.70,1010,40,4%,01/01/2025,1638,21.15,1,Corral 1 y 2
03/01/2025,2,1265,0.00,0.00,0.00,0.00,7.80,0.40,14.18,1.33,0.00,5.50,23.70,1265,35,3%,01/01/2025,1644,26.79,1,Corral 1 y 2
03/01/2025,3,1155,0.00,0.00,0.00,0.00,7.80,0.40,14.18,1.33,0.00,5.50,23.70,1155,45,4%,01/01/2025,2070,22.5,1,Corral 3 y 4
03/01/2025,4,1285,0.00,0.00,0.00,0.00,7.80,0.40,14.18,1.33,0.00,5.50,23.70,1285,15,1%,01/01/2025,2074,24.34,2,Corral 5 y 6
03/01/2025,5,1125,0.00,0.00,0.00,0.00,7.80,0.40,14.18,1.33,0.00,5.50,23.70,1125,75,6%,01/01/2025,2076,39.59,2,Corral 5 y 6
03/01/2025,6,1735,0.00,0.00,0.00,0.00,7.80,0.40,14.18,1.33,0.00,5.50,23.70,1735,65,4%,01/01/2025,2082,41.59,2,Corral 3 y 4
04/01/2025,1,1100,0.00,0.00,0.00,0.00,7.80,0.40,14.18,1.33,0.00,5.50,23.70,1100,0,0%,01/01/2025,2087,26.4,1,Corral 1 y 2
04/01/2025,2,1285,0.00,0.00,0.00,0.00,7.80,0.40,14.18,1.33,0.00,5.50,23.70,1285,15,1%,01/01/2025,2108,18.15,1,Corral 3 y 4
04/01/2025,3,1070,0.00,0.00,0.00,0.00,7.80,0.40,14.18,1.33,0.00,5.50,23.70,1070,130,11%,01/01/2025,2119,20.89,1,Corral 1 y 2
04/01/2025,4,1245,0.00,0.00,0.00,0.00,7.80,0.40,14.18,1.33,0.00,5.50,23.70,1245,55,4%,01/01/2025,2122,36.08,2,Corral 1 y 2
04/01/2025,5,1055,0.00,0.00,0.00,0.00,7.80,0.40,14.18,1.33,0.00,5.50,23.70,1055,145,12%,01/01/2025,2165,24.43,1,Corral 5 y 6
04/01/2025,6,1750,0.00,0.00,0.00,0.00,7.80,0.40,14.18,1.33,0.00,5.50,23.70,1750,50,3%,01/01/2025,5767,23.74,1,Corral 3 y 4
05/01/2025,1,1035,0.00,0.00,0.00,0.00,7.80,0.40,14.18,1.33,0.00,5.50,23.70,1035,65,6%,01/01/2025,6012,26.52,1,Corral 1 y 2
05/01/2025,2,1230,0.00,0.00,0.00,0.00,7.80,0.40,14.18,1.33,0.00,5.50,23.70,1230,70,5%,01/01/2025,6050,15.29,1,Corral 3 y 4
05/01/2025,3,1090,0.00,0.00,0.00,0.00,7.80,0.40,14.18,1.33,0.00,5.50,23.70,1090,110,9%,01/01/2025,6054,35.61,2,Corral 5 y 6
05/01/2025,4,1275,0.00,0.00,0.00,0.00,7.80,0.40,14.18,1.33,0.00,5.50,23.70,1275,25,2%,01/01/2025,6070,41.45,2,Corral 1 y 2
05/01/2025,5,1040,0.00,0.00,0.00,0.00,7.80,0.40,14.18,1.33,0.00,5.50,23.70,1040,160,13%,01/01/2025,6092,30.13,2,Corral 1 y 2
05/01/2025,6,1725,0.00,0.00,0.00,0.00,7.80,0.40,14.18,1.33,0.00,5.50,23.70,1725,75,4%,01/01/2025,6098,11.71,1,Corral 5 y 6
06/01/2025,1,1000,0.00,0.00,0.00,0.00,7.80,0.40,14.18,1.33,0.00,5.50,23.70,1000,100,9%,01/01/2025,6124,18.58,1,Corral 5 y 6
06/01/2025,2,1300,0.00,0.00,0.00,0.00,7.80,0.40,14.18,1.33,0.00,5.50,23.70,1300,0,0%,01/01/2025,6131,30.39,2,Corral 1 y 2
