column,dtype,nan_count,nan_pct
weight_kg,float64,18343,99.99
del_at_dryoff,float64,18340,99.97
body_condition_score,float64,18331,99.92
gestant_insem_number,float64,18312,99.82
liters_at_dryoff,float64,18304,99.78
dcc_at_dryoff,float64,18297,99.74
diet_kg_seca_maiz_molido,float64,14627,79.73
diet_kg_seca_pasta_se_soya,float64,14627,79.73
diet_kg_seca_silo_de_avena,float64,14627,79.73
diet_kg_seca_silo_de_maiz,float64,14627,79.73
diet_kg_humeda_maiz_molido,float64,14627,79.73
diet_kg_humeda_pasta_se_soya,float64,14627,79.73
diet_kg_humeda_silo_de_avena,float64,14627,79.73
diet_kg_humeda_silo_de_maiz,float64,14627,79.73
diet_pct_ms_maiz_molido,float64,14627,79.73
diet_pct_ms_pasta_se_soya,float64,14627,79.73
diet_pct_ms_silo_de_avena,float64,14627,79.73
diet_pct_ms_silo_de_maiz,float64,14627,79.73
diet_kg_am_pm_maiz_molido,float64,14627,79.73
diet_kg_am_pm_pasta_se_soya,float64,14627,79.73
diet_kg_am_pm_silo_de_avena,float64,14627,79.73
diet_kg_am_pm_silo_de_maiz,float64,14627,79.73
event_types,str,14320,78.06
raw_event_text,str,14320,78.06
diagnosis_text,str,14320,78.06
medication_text,str,14320,78.06
treatment_text,str,14320,78.06
diagnosis_categories,str,14320,78.06
treatment_categories,str,14320,78.06
medication_categories,str,14320,78.06
pregnancy_positive,float64,14320,78.06
pregnancy_negative,float64,14320,78.06
mastitis_flag,float64,14320,78.06
digestive_flag,float64,14320,78.06
vaccine_flag,float64,14320,78.06
reproductive_flag,float64,14320,78.06
abortion_flag,float64,14320,78.06
antibiotic_flag,float64,14320,78.06
hormone_flag,float64,14320,78.06
dryoff_related_flag,float64,14320,78.06
fresh_cow_flag,float64,14320,78.06
rumen_bolus_flag,float64,14320,78.06
heat_flag,float64,14320,78.06
insemination_flag,float64,14320,78.06
calving_flag,float64,14320,78.06
dryoff_flag,float64,14320,78.06
Cambio_Grupo,float64,14320,78.06
Cambio_ID,float64,14320,78.06
Cambio_ID_Tran,float64,14320,78.06
Cambio_Tabla_Alim,float64,14320,78.06
Celo,float64,14320,78.06
Condicion_Corporal,float64,14320,78.06
Control_Gestacion,float64,14320,78.06
Diagnostico_Tratamiento,float64,14320,78.06
Entrada,float64,14320,78.06
Inseminacion,float64,14320,78.06
Invitacion_Visita,float64,14320,78.06
Parto,float64,14320,78.06
Peso,float64,14320,78.06
Secado,float64,14320,78.06
diag_alta,float64,14320,78.06
diag_bolo_rumensin,float64,14320,78.06
diag_digestivo,float64,14320,78.06
diag_gnrh,float64,14320,78.06
diag_mastitis,float64,14320,78.06
diag_other,float64,14320,78.06
diag_pg,float64,14320,78.06
diag_presynch,float64,14320,78.06
diag_problema_podal,float64,14320,78.06
diag_revision,float64,14320,78.06
diag_secado,float64,14320,78.06
diag_secado_baja,float64,14320,78.06
diag_sincronizacion,float64,14320,78.06
diag_vacia,float64,14320,78.06
diag_vacuna,float64,14320,78.06
diag_vitamina,float64,14320,78.06
trt_antibiotico,float64,14320,78.06
trt_bolo_rumensin,float64,14320,78.06
trt_cefa,float64,14320,78.06
trt_cidr,float64,14320,78.06
trt_gnrh,float64,14320,78.06
trt_other,float64,14320,78.06
trt_pg,float64,14320,78.06
trt_vacuna,float64,14320,78.06
trt_vitamina,float64,14320,78.06
med_antibiotico,float64,14320,78.06
med_bolo_rumensin,float64,14320,78.06
med_cefa,float64,14320,78.06
med_cidr,float64,14320,78.06
med_gnrh,float64,14320,78.06
med_other,float64,14320,78.06
med_pg,float64,14320,78.06
med_vacuna,float64,14320,78.06
rumia_min,float64,12595,68.66
days_in_milk,float64,12595,68.66
group_id,float64,12595,68.66
last_calving,datetime64[us],12595,68.66
diet_kg_seca_oro_balance,float64,11419,62.25
diet_kg_humeda_oro_balance,float64,11419,62.25
diet_pct_ms_oro_balance,float64,11419,62.25
diet_kg_am_pm_oro_balance,float64,11419,62.25
ti_mean,float64,9206,50.18
dd_mean,float64,8758,47.74
di_mean,float64,8552,46.62
td_mean,float64,8537,46.54
ordenos_dia,float64,8531,46.5
produccion_kg,float64,8531,46.5
duracion_total_min,float64,8531,46.5
duracion_prom_min,float64,8531,46.5
intervalo_ordeno_prom_min,float64,8531,46.5
ubre,float64,8531,46.5
destino_leche,str,8531,46.5
ms,str,8531,46.5
source_file,str,8531,46.5
diet_kg_seca_triticale,float64,6296,34.32
diet_kg_humeda_triticale,float64,6296,34.32
diet_pct_ms_triticale,float64,6296,34.32
diet_kg_am_pm_triticale,float64,6296,34.32
ratio_consumo_oferta_global,float64,2841,15.49
ratio_sobrante_oferta_global,float64,2841,15.49
kg_pm_prom_corral,float64,2755,15.02
ratio_rechazo_consumo_global,float64,2720,14.83
n_corrales,float64,2697,14.7
kg_am_total,float64,2697,14.7
kg_pm_total,float64,2697,14.7
kg_totales_total,float64,2697,14.7
sobrante_total,float64,2697,14.7
consumo_total,float64,2697,14.7
rechazo_total,float64,2697,14.7
kg_am_prom_corral,float64,2697,14.7
kg_totales_prom_corral,float64,2697,14.7
consumo_prom_corral,float64,2697,14.7
diet_period,str,2578,14.05
consumo_kg_vaca,float64,2578,14.05
am_pm_fraction,float64,2578,14.05
n_ingredientes,float64,2578,14.05
diet_dm_total,float64,2578,14.05
diet_wet_total,float64,2578,14.05
diet_pct_ms_total,float64,2578,14.05
usa_oro_milk,float64,2578,14.05
usa_oro_balance,float64,2578,14.05
usa_silo_maiz,float64,2578,14.05
usa_silo_avena,float64,2578,14.05
usa_ensilado,float64,2578,14.05
usa_heno,float64,2578,14.05
usa_triticale,float64,2578,14.05
usa_melaza,float64,2578,14.05
usa_soya,float64,2578,14.05
diet_kg_seca_agua,float64,2578,14.05
diet_kg_seca_melaza50pct_agua,float64,2578,14.05
diet_kg_seca_oro_milk,float64,2578,14.05
diet_kg_seca_pata_de_cebada,float64,2578,14.05
diet_kg_humeda_agua,float64,2578,14.05
diet_kg_humeda_melaza50pct_agua,float64,2578,14.05
diet_kg_humeda_oro_milk,float64,2578,14.05
diet_kg_humeda_pata_de_cebada,float64,2578,14.05
diet_pct_ms_agua,float64,2578,14.05
diet_pct_ms_melaza50pct_agua,float64,2578,14.05
diet_pct_ms_oro_milk,float64,2578,14.05
diet_pct_ms_pata_de_cebada,float64,2578,14.05
diet_kg_am_pm_agua,float64,2578,14.05
diet_kg_am_pm_melaza50pct_agua,float64,2578,14.05
diet_kg_am_pm_oro_milk,float64,2578,14.05
diet_kg_am_pm_pata_de_cebada,float64,2578,14.05
cow_id,Int64,0,0.0
date,datetime64[us],0,0.0
event_count,int64,0,0.0
temperature_2m_mean,float64,0,0.0
temperature_2m_min,float64,0,0.0
temperature_2m_max,float64,0,0.0
relative_humidity_2m_mean,float64,0,0.0
pressure_msl_mean,float64,0,0.0
precipitation_sum,float64,0,0.0
wind_speed_10m_mean,float64,0,0.0
has_event,int64,0,0.0
