,importance
intervalo_ordeno_prom_min,0.3588064350585797
duracion_prom_min,0.15581560822488566
ubre,0.008479282331760273
relative_humidity_2m_mean,0.00366576080290284
kg_am_total,0.002989721222755537
destino_leche,0.0019561515586927537
temperature_2m_mean,0.0009255956600344506
temperature_2m_max,0.0008027912774933643
wind_speed_10m_mean,0.0006426703300631331
precipitation_sum,0.0005402261070680759
temperature_2m_min,0.0003972530387662987
sobrante_total,1.3626554008272506e-06
usa_melaza,0.0
usa_silo_maiz,0.0
usa_silo_avena,0.0
usa_ensilado,0.0
usa_heno,0.0
usa_triticale,0.0
diet_kg_seca_maiz_molido,0.0
usa_soya,0.0
diet_kg_seca_agua,0.0
usa_oro_milk,0.0
diet_kg_seca_melaza50pct_agua,0.0
diet_kg_seca_oro_balance,0.0
diet_kg_seca_oro_milk,0.0
usa_oro_balance,0.0
diet_wet_total,0.0
diet_pct_ms_total,0.0
diet_kg_seca_pata_de_cebada,0.0
am_pm_fraction,0.0
consumo_kg_vaca,0.0
diet_period,0.0
ratio_sobrante_oferta_global,0.0
consumo_prom_corral,0.0
kg_totales_prom_corral,0.0
kg_pm_prom_corral,0.0
kg_am_prom_corral,0.0
rumia_min,0.0
n_corrales,0.0
body_condition_score,0.0
diet_kg_seca_pasta_se_soya,0.0
days_in_milk,0.0
group_id,0.0
diet_kg_am_pm_melaza50pct_agua,0.0
diet_pct_ms_pata_de_cebada,0.0
diet_pct_ms_silo_de_avena,0.0
diet_pct_ms_silo_de_maiz,0.0
diet_pct_ms_triticale,0.0
diet_kg_am_pm_agua,0.0
diet_kg_am_pm_maiz_molido,0.0
diet_kg_am_pm_oro_balance,0.0
diet_kg_seca_silo_de_maiz,0.0
diet_kg_am_pm_oro_milk,0.0
diet_kg_am_pm_pasta_se_soya,0.0
diet_kg_am_pm_pata_de_cebada,0.0
diet_kg_am_pm_silo_de_avena,0.0
diet_kg_am_pm_silo_de_maiz,0.0
diet_kg_am_pm_triticale,0.0
diet_pct_ms_pasta_se_soya,0.0
diet_pct_ms_oro_milk,0.0
diet_pct_ms_oro_balance,0.0
diet_pct_ms_melaza50pct_agua,0.0
diet_pct_ms_maiz_molido,0.0
diet_pct_ms_agua,0.0
diet_kg_humeda_triticale,0.0
diet_kg_humeda_silo_de_maiz,0.0
diet_kg_humeda_silo_de_avena,0.0
diet_kg_humeda_pata_de_cebada,0.0
diet_kg_humeda_pasta_se_soya,0.0
diet_kg_humeda_oro_milk,0.0
diet_kg_humeda_oro_balance,0.0
diet_kg_humeda_melaza50pct_agua,0.0
diet_kg_humeda_maiz_molido,0.0
diet_kg_humeda_agua,0.0
diet_kg_seca_triticale,0.0
diet_kg_seca_silo_de_avena,0.0
has_event,0.0
med_vacuna,0.0
calving_flag,0.0
Cambio_Grupo,0.0
Cambio_ID,0.0
Cambio_ID_Tran,0.0
Cambio_Tabla_Alim,0.0
Celo,0.0
Condicion_Corporal,0.0
Control_Gestacion,0.0
Diagnostico_Tratamiento,0.0
Entrada,0.0
Inseminacion,0.0
Invitacion_Visita,0.0
Parto,0.0
Peso,0.0
Secado,0.0
diag_alta,0.0
dryoff_flag,0.0
heat_flag,0.0
med_pg,0.0
rumen_bolus_flag,0.0
weight_kg,0.0
liters_at_dryoff,0.0
dcc_at_dryoff,0.0
del_at_dryoff,0.0
gestant_insem_number,0.0
pregnancy_negative,0.0
mastitis_flag,0.0
digestive_flag,0.0
vaccine_flag,0.0
reproductive_flag,0.0
abortion_flag,0.0
antibiotic_flag,0.0
hormone_flag,0.0
dryoff_related_flag,0.0
fresh_cow_flag,0.0
diag_bolo_rumensin,0.0
diag_digestivo,0.0
diag_gnrh,0.0
med_antibiotico,0.0
med_bolo_rumensin,0.0
trt_vitamina,0.0
med_cefa,0.0
trt_vacuna,0.0
trt_pg,0.0
trt_other,0.0
trt_gnrh,0.0
med_cidr,0.0
diag_mastitis,0.0
trt_cidr,0.0
med_gnrh,0.0
trt_cefa,0.0
trt_bolo_rumensin,0.0
trt_antibiotico,0.0
med_other,0.0
diag_vitamina,0.0
diag_vacuna,0.0
diag_vacia,0.0
diag_sincronizacion,0.0
diag_secado_baja,0.0
diag_secado,0.0
diag_revision,0.0
diag_problema_podal,0.0
diag_presynch,0.0
diag_pg,0.0
diag_other,0.0
pregnancy_positive,-5.623612643224085e-06
kg_pm_total,-2.4734092696143683e-05
insemination_flag,-3.8607672018620145e-05
event_count,-0.00019741871100589225
diet_dm_total,-0.0002051329490190046
rechazo_total,-0.0003918066771828155
ratio_consumo_oferta_global,-0.00039573242615191794
kg_totales_total,-0.0003969432234181003
consumo_total,-0.0015235248971979364
ratio_rechazo_consumo_global,-0.001845649762514312
pressure_msl_mean,-0.0028596040866590623
