,MissingCount,MissingPct,DType
sobrante (kg),2500,64.85,str
% rechazo,2335,60.57,str
Consumo Corral,2286,59.3,float64
Pasta de soya seco,2247,58.29,float64
Corral,2247,58.29,float64
Fecha consumo,2247,58.29,str
Silo de Maiz seco,2247,58.29,float64
Maiz molido seco,2247,58.29,float64
Silo de Avena seco,2247,58.29,float64
Triticale_seca,2247,58.29,float64
Melaza_seca,2247,58.29,float64
Oro Balance seco,2247,58.29,float64
PataCebada_seca,2247,58.29,float64
OroMilk_seca,2247,58.29,float64
Total_MS_Dieta Seco,2247,58.29,float64
Agua_kg,2247,58.29,float64
consumo (kg),2247,58.29,float64
Fecha Ordeño,0,0.0,str
ID_vaca,0,0.0,int64
Produccion_total_kg,0,0.0,float64
Numero_Ordeños,0,0.0,int64
Corral de ordeño,0,0.0,str
