file_name,pages,non_empty_pages,total_chars,total_words,extractable_text,status
Eventos de animales 1204.pdf,5,5,6176,939,True,ok
Eventos de animales 1213.pdf,3,3,4359,662,True,ok
Eventos de animales 1216.pdf,4,4,4675,702,True,ok
Eventos de animales 1225.pdf,4,4,4741,697,True,ok
Eventos de animales 1228.pdf,3,3,3843,592,True,ok
Eventos de animales 1235.pdf,4,4,4653,702,True,ok
Eventos de animales 1236.pdf,4,4,5100,749,True,ok
Eventos de animales 1242.pdf,4,4,4403,659,True,ok
Eventos de animales 1243.pdf,4,4,4739,710,True,ok
Eventos de animales 1497.pdf,2,2,1847,291,True,ok
Eventos de animales 1510.pdf,2,2,2208,342,True,ok
Eventos de animales 1555.pdf,7,7,9422,1402,True,ok
Eventos de animales 1560.pdf,7,7,9532,1431,True,ok
Eventos de animales 1567.pdf,6,6,8530,1294,True,ok
Eventos de animales 1577.pdf,7,7,9503,1401,True,ok
Eventos de animales 1590.pdf,7,7,10038,1480,True,ok
Eventos de animales 1617.pdf,6,6,8480,1286,True,ok
Eventos de animales 1619.pdf,6,6,7870,1209,True,ok
Eventos de animales 1638.pdf,6,6,7772,1172,True,ok
Eventos de animales 1644.pdf,6,6,7610,1151,True,ok
Eventos de animales 2070.pdf,5,5,6951,1029,True,ok
Eventos de animales 2074.pdf,6,6,7492,1129,True,ok
Eventos de animales 2076.pdf,5,5,6806,1044,True,ok
Eventos de animales 2082.pdf,6,6,8138,1202,True,ok
Eventos de animales 2087.pdf,5,5,6446,982,True,ok
Eventos de animales 2108.pdf,6,6,7179,1121,True,ok
Eventos de animales 2110.pdf,5,5,6482,970,True,ok
Eventos de animales 2119.pdf,5,5,6118,947,True,ok
Eventos de animales 2122...pdf,5,5,6721,1046,True,ok
Eventos de animales 2150.pdf,5,5,5755,890,True,ok
Eventos de animales 2165.pdf,3,3,4018,607,True,ok
Eventos de animales 5767.pdf,11,11,15114,2271,True,ok
Eventos de animales 5981.pdf,9,9,11670,1764,True,ok
Eventos de animales 6012.pdf,8,8,11131,1675,True,ok
Eventos de animales 6050.pdf,8,8,10579,1572,True,ok
Eventos de animales 6054.pdf,8,8,10960,1667,True,ok
Eventos de animales 6062.pdf,9,9,12186,1798,True,ok
Eventos de animales 6070.pdf,11,11,15972,2360,True,ok
Eventos de animales 6092.pdf,6,6,8140,1226,True,ok
Eventos de animales 6098.pdf,8,8,10763,1640,True,ok
Eventos de animales 6131.pdf,7,7,9478,1404,True,ok
Eventos de animales 6134.pdf,8,8,11436,1704,True,ok
Eventos de animales 6137.pdf,9,9,12608,1899,True,ok
Eventos de animales 6154.pdf,8,8,10352,1570,True,ok
Eventos de animales 6161.pdf,8,8,10716,1616,True,ok
Eventos de animales 6164.pdf,6,6,8042,1207,True,ok
Eventos de animales 6178.pdf,8,8,10539,1579,True,ok
Eventos de animales 6193.pdf,7,7,9876,1466,True,ok
Eventos de animales 6194.pdf,7,7,9927,1467,True,ok
Eventos de animales 6197.pdf,6,6,7591,1151,True,ok
Eventos de animales 6226.pdf,8,8,11128,1650,True,ok
Eventos de animales 6258.pdf,8,8,10600,1611,True,ok
Eventos de animales 8703.pdf,3,3,4210,619,True,ok
Eventos de animales 8705.pdf,3,3,3559,541,True,ok
Eventos de animales 8707.pdf,3,3,4143,639,True,ok
Eventos de animales 8708.pdf,3,3,3869,581,True,ok
Eventos de animales 8710.pdf,3,3,3673,544,True,ok
Eventos de animales 8711.pdf,3,3,3874,568,True,ok
Eventos de animales 8712.pdf,3,3,4137,610,True,ok
Eventos de animales 8714.pdf,3,3,3127,472,True,ok
Eventos de animales 8715.pdf,3,3,3579,523,True,ok
Eventos de animales 8732.pdf,3,3,3711,576,True,ok
Eventos de animales 8739.pdf,3,3,3942,573,True,ok
Eventos de animales 8755.pdf,3,3,3070,484,True,ok
Eventos de animales 8761.pdf,3,3,3897,570,True,ok
Eventos de animales 8781.pdf,2,2,2545,373,True,ok
Eventos de animales6124.pdf,7,7,10013,1512,True,ok
Producciones de leche .1243.pdf,26,26,31498,7010,True,ok
Producciones de leche .1510.pdf,4,4,3175,708,True,ok
