Evento,,Tipo de evento,"Fecha
del
evento",Descripción,Usuario,Comentario,source_page,source_table
,,Inseminación,02/03/2,"Artificial Insemination;
fertility/ANGUS; 2406261; Unknown
Brand; Roma",Roma,ml tur,2,1
,,Celo,02/03/2,Herd Navigator,Roma,,2,1
,,Diagnósticos/Tr,20/02/2,"Dns: Vacia; Loc.: DD; Trat: GNRH
OVS; Med:",User1,R7,2,1
,,Control de Gest,20/02/2,-,User1,VACIA DE 34. PASO CALOR,2,1
,,Cambio de grup,21/01/2,"1, VMS 1 -> 3, VMS 3",User1,,2,1
,,Inseminación,17/01/2,"Artificial Insemination;
fertility/ANGUS; 2406261; Unknown
Brand; Roma",Roma,ML,2,1
,,Celo,17/01/2,Herd Navigator,Roma,,2,1
,,Diagnósticos/Tr,09/01/2,"Dns: Vacia; Loc.: DD; Trat: PG2;
Med:",User1,,2,1
,,Control de Gest,09/01/2,-,User1,VACIA DE 39 POST. INSEM,2,1
,,Inseminación,01/12/2,"Artificial Insemination;
8403207410750; ROMELU-ET;
Unknown Brand; Roma",Roma,NO TUR,2,1
,,Celo,01/12/2,Herd Navigator,Roma,,2,1
,,Diagnósticos/Tr,28/11/2,"Dns: Protocolo sincronizacion; Loc.:
DD; Trat: RETIRO DEL CIDR; Med:",User1,,2,1
,,Diagnósticos/Tr,21/11/2,"Dns: Protocolo sincronizacion; Loc.:
DD; Trat: CIDR; Med:",User1,,2,1
,,Control de Gest,14/11/2,-,User1,VACIA DE 39 POST. INSEM,2,1
,,Inseminación,06/10/2,"Artificial Insemination;
8403138843085; LUSTER-P- ET;
Unknown Brand; MVZ. GUADALUPE
LOPEZ",MVZ. GUA,,2,1
,,Celo,06/10/2,Se deja montar,MVZ. GUA,,2,1
,,Inseminación,21/09/2,"Artificial Insemination;
HOCANM13996599; PROGENESIS
PATTERN SEMEX; Unknown Brand;
Roma",Roma,DE CIDR NO,2,1
,,Celo,21/09/2,Herd Navigator,Roma,,2,1
,,Diagnósticos/Tr,12/09/2,"Dns: Vacia; Loc.: DD; Trat: CIDR;
Med:",DelproClien,,2,1
,,Control de Gest,12/09/2,-,DelproClien,VACIA DE 41 POST. INSEM,2,1
